//Kategorie;Name;Preis;Gewicht
Werkzeug;Schminkzeug;50 GM;8 Pfd.
Werkzeug;Stechpalmen und Misteln;- ;-
Werkzeug;Werkzeug eines Handwerkers, gewöhnlich;5 GM;5 Pfd.
Werkzeug;Werkzeug eines Handwerkers, Meisterarbeit;55 GM;5 Pfd.
Werkzeug;Werkzeugsatz;5 GM;5 Pfd.
Werkzeug;Werkzeugsatz [Meisterarbeit];55 GM;5 Pfd.
Werkzeug;Zauberbuch;15 GM;3 Pfd.
Kleidung;Adelskleidung;75 GM;10 Pfd.
Kleidung;Bauernkleidung;1 SM;2 Pfd.
Kleidung;Entdeckerkleidung;10 GM;8 Pfd.
Kleidung;Gelehrtenkleidung;5 GM;6 Pfd.
Kleidung;Handwerkskleidung;1 GM;4 Pfd.
Kleidung;Höflingskleidung;30 GM;6 Pfd.
Kleidung;Kaltwetterkleidung;8 GM;7 Pfd.
Kleidung;Klerikale Gewandung;5 GM;6 Pfd.
Kleidung;Königliche Kleidung;200 GM;15 Pfd.
Kleidung;Mönchskleidung;5 GM;2 Pfd.
Kleidung;Unterhalterkleidung;3 GM;4 Pfd.
Kleidung;Reisekleidung;1 GM;5 Pfd.
Verpflegung;Bankett (pro Person);10 GM;-
Verpflegung;Bier 4 Liter;2 SM;8 Pfd.
Verpflegung;Bier 1 Krug;4 KM;1 Pfd.
Verpflegung;Brot (pro Laib);2 KM;½ Pfd.
Verpflegung;Fleisch (Stück);3 SM;½ Pfd.
Unterkunft;Gastaufenthalt (pro Tag) Gut;2 GM;-
Unterkunft;Gastaufenthalt (pro Tag) Durchschnittlich;5 SM;-
Unterkunft;Gastaufenthalt (pro Tag) Armselig;2 SM;-
Unterkunft;Zimmerflucht, einfach;4 GM;-
Unterkunft;Zimmerflucht, mittel;16 GM;-
Unterkunft;Zimmerflucht, luxuriös;32 GM und höher;-
Verpflegung;Käse (Stück);1 SM;½ Pfd.
Verpflegung;Mahlzeit (pro Tag) dürftig;1 SM;-
Verpflegung;Mahlzeit (pro Tag) gewöhnlich;3 SM;-
Verpflegung;Mahlzeit (pro Tag) gut;5 SM;-
Verpflegung;Wein gewöhnlich (Kanne);2 SM;6 Pfd.
Verpflegung;Wein edel (Flasche);10 GM;1,5 Pfd.
Reittier;Esel oder Maultier;8 GM;600-800 Pfd.
Reittier;Futter (pro Tag);5 KM;10 Pfd.
Reittier;Kriegspony;45 GM;900 Pfd.
Reittier;Leichtes Streitross;110 GM;1.200 Pfd.
Reittier;Pony;30 GM;800 Pfd.
Reittier;Reitpferd;75 GM;900 Pfd.
Reittier;Schweres Streitross;300 GM;3.000 Pfd.
Reittier;Zugpferd;200 GM;2.000 Pfd.
Reittier;Pferdeharnisch Mittelgroße Kreatur;x2;x1
Reittier;Pferdeharnisch Große Kreatur;x4;x2
Reittier;Reithund;150 GM;50 Pfd.
Reittier;Militärsattel;20 GM;30 Pfd.
Reittier;Packsattel;5 GM;15 Pfd.
Reittier;Reitsattel;10 GM;25 Pfd.
Reittier;Exotischer Militärsattel;60 GM;40 Pfd
Reittier;Exotischer Packsattel;15 GM;20 Pfd.
Reittier;Exotischer Reitsattel;30 GM;30 Pfd.
Reittier;Satteltaschen;4 GM;8 Pfd.
Reittier;Reittier;Stallunterbringung (pro Tag);5 SM;-
Reittier;Wachhund;25 GM;25 Pfd.
Reittier;Zaumzeug;2 GM;1 Pfd.
Transport;Galeere;30.000 GM;-
Transport;Karren;15 GM;200 Pfd.
Transport;Knarr;3.000 GM;-
Transport;Kriegsschiff;25.000 GM;-
Transport;Kutsche;100 GM;600 Pfd.
Transport;Langschiff;10.000 GM;-
Transport;Ruder;2 GM;10 Pfd.
Transport;Ruderboot;50 GM;100 Pfd.
Transport;Schlitten;20 GM;300 Pfd.
Transport;Segelschiff;10.000 GM;-
Transport;Wagen;35 GM;400 Pfd.
Dienstleistung;Bote;2 KM pro 1,5 km;-
Dienstleistung;Kutschfahrt;3 KM pro 1,5 km;-
Dienstleistung;Mietling, ausgebildet;3 SM pro Tag;-
Dienstleistung;Mietling, unausgebildet;1 SM pro Tag;-
Dienstleistung;Schiffsreise;1 SM pro 1,5 km;-
Dienstleistung;Weg- oder Torzoll;1 KM;-
Dienstleistung;Zauber;Zauberstufe x Grad des Zaubers x 10 GM;-
